"用户id","年龄","性别","门店id","评分","人均价格","是否点击"
"24","23","F","245","2","88","0"
"24","27","M","351","2","235","0"
"24","77","M","230","4","204","1"
"24","41","F","167","1","146","0"
"24","55","M","351","1","191","0"
"24","17","F","198","4","210","0"
"24","30","F","157","1","170","0"
"24","36","M","393","2","91","0"
"25","70","F","270","3","75","0"
"25","66","M","315","0","173","1"
"25","60","M","175","3","160","0"
"25","73","M","226","1","78","0"
"25","11","F","303","2","166","1"
"25","14","F","438","3","87","0"
"25","70","F","209","3","162","1"
"25","69","F","214","3","179","1"
"26","17","F","210","1","106","0"
"26","44","F","198","3","223","0"
"26","73","M","367","3","214","1"
"26","28","F","193","4","113","0"
"26","24","F","130","0","164","1"
"26","75","M","258","2","224","0"
"26","49","M","382","4","133","1"
"26","60","M","245","2","163","0"
"26","14","M","157","2","208","1"
"27","44","M","214","2","236","1"
"27","41","M","497","3","128","0"
"27","29","F","103","1","165","0"
"27","15","M","138","1","249","1"
"27","72","F","324","1","73","0"
"27","61","F","239","4","161","1"
"27","13","M","252","2","148","1"
"27","47","M","338","2","114","1"
"27","51","F","247","1","114","1"
"27","57","M","417","2","212","1"
"27","67","M","316","0","212","0"
"27","33","F","107","2","158","0"
"27","70","M","211","0","198","0"
"27","48","M","480","1","90","1"
"27","52","F","104","3","211","0"
"27","70","M","356","4","224","0"
"28","49","F","385","3","198","0"
"28","35","M","317","3","194","0"
"28","44","M","319","1","132","0"
"28","50","M","386","0","55","1"
"28","65","M","104","4","80","0"
"28","65","F","161","3","180","1"
"28","16","F","185","4","183","0"
"29","39","M","186","3","170","0"
"29","46","M","158","1","82","1"
"29","13","F","267","4","138","1"
"29","43","F","351","1","180","0"
"29","29","M","309","4","187","0"
"29","78","F","438","1","234","1"
"29","42","M","305","3","61","1"
"29","38","M","397","1","231","0"
"29","49","F","393","3","123","0"
"29","73","F","448","4","193","0"
"29","40","M","450","2","114","1"
"30","62","M","194","0","246","1"
"30","71","M","178","1","178","0"
"30","29","F","412","0","126","1"
"30","52","F","357","2","151","0"
"30","78","F","467","1","142","1"
"30","21","F","293","1","241","1"
"31","55","M","102","0","134","1"
"31","19","F","135","4","206","1"
"31","23","F","285","2","124","0"
"31","21","M","158","3","174","1"
"31","40","M","178","0","162","0"
"31","31","M","334","4","108","0"
"32","64","F","448","1","136","0"
"32","49","F","131","3","194","0"
"32","19","F","487","4","66","0"
"32","60","F","247","0","109","0"
"32","75","M","278","0","245","1"
"32","54","M","152","2","130","1"
"32","12","F","252","3","87","1"
"32","57","F","276","2","120","1"
"32","45","F","372","1","100","0"
"32","59","F","276","2","128","0"
"32","73","F","487","3","141","1"
"33","45","M","479","0","138","0"
"33","11","F","492","1","207","0"
"33","49","F","160","1","77","1"
"33","12","F","220","2","149","0"
"33","51","M","215","2","138","0"
"33","64","M","474","3","113","0"
"33","52","M","498","0","205","1"
"33","11","F","362","0","154","1"
"33","12","M","293","3","192","1"
"33","20","F","178","3","244","1"
"33","40","M","355","0","167","1"
"33","53","M","329","1","146","1"
"33","36","F","310","1","138","0"
"33","47","M","258","3","155","1"
"33","76","F","124","0","231","0"
"33","65","M","239","1","93","0"
"33","16","F","446","1","125","1"
"33","14","M","228","4","62","1"
"36","53","M","268","2","50","1"
"36","22","F","117","2","242","0"
"36","52","M","492","2","148","1"
"36","38","M","103","4","77","0"
"36","70","F","417","3","205","1"
"36","28","F","462","4","237","0"
"36","71","M","469","1","184","0"
"36","78","F","427","2","228","0"
"36","23","F","313","4","242","0"
"36","42","M","395","3","94","0"
"36","69","M","119","1","171","0"
"36","43","F","122","3","102","1"
"36","17","F","211","2","224","1"
"36","42","M","419","3","204","1"
"36","69","F","208","3","202","0"
"36","44","F","402","1","173","0"
"36","38","M","398","2","189","1"
"37","46","M","304","0","79","1"
"37","63","F","342","4","166","1"
"37","33","M","178","3","62","0"
"37","57","M","228","2","131","1"
"37","60","F","178","0","115","0"
"37","54","F","436","4","63","0"
"37","56","F","212","2","58","1"
"37","29","M","282","1","212","1"
"37","59","F","384","0","169","0"
"37","54","F","415","2","222","1"
"37","75","M","422","2","128","0"
"37","55","M","357","2","50","1"
"37","16","M","210","1","72","0"
"39","13","F","167","0","86","1"
"39","64","M","133","0","86","0"
"39","34","M","220","4","223","1"
"39","42","M","319","2","74","0"
"39","21","F","208","0","133","0"
"39","72","F","209","3","215","1"
"39","46","F","139","2","238","1"
"39","33","F","165","2","82","1"
"39","65","F","482","1","140","1"
"39","10","F","285","1","71","0"
"40","78","F","404","2","236","1"
"40","46","M","301","1","106","1"
"40","78","F","440","0","225","1"
"40","50","F","200","4","90","0"
"40","42","F","247","0","167","1"
"40","53","M","385","4","74","0"
"40","60","M","468","3","77","0"
"40","48","F","412","4","115","0"
"40","65","F","387","3","216","1"
"40","22","F","418","2","58","0"
"40","16","F","427","3","118","0"
"40","46","F","245","3","105","1"
"40","61","M","426","2","191","0"
"41","61","M","263","4","169","1"
"41","18","M","129","2","179","1"
"41","17","F","417","2","125","0"
"41","58","M","110","1","68","1"
"41","37","M","282","1","159","0"
"41","78","M","291","3","63","0"
"41","64","M","311","4","159","0"
"41","65","F","453","2","189","0"
"41","19","F","230","2","198","0"
"41","62","F","313","4","140","1"
"41","74","M","183","1","112","1"
"41","40","M","366","4","185","0"
"41","44","F","244","0","150","1"
"41","38","M","218","1","189","0"
"41","76","M","255","2","112","1"
"41","49","M","239","2","112","0"
"42","62","M","286","1","174","1"
"42","68","M","245","1","167","1"
"42","54","F","445","2","96","1"
"42","24","M","273","4","140","1"
"42","29","F","443","1","231","0"
"42","41","M","368","0","205","0"
"42","18","F","205","4","115","1"
"42","73","F","293","2","215","0"
"42","46","M","122","3","163","0"
"42","77","F","420","2","103","1"
"42","74","M","455","2","213","1"
"42","58","M","282","3","130","1"
"42","61","M","430","0","60","0"
"42","45","F","170","4","78","1"
"43","15","F","462","1","183","1"
"43","47","M","404","4","175","0"
"43","37","F","298","3","120","0"
"43","72","M","455","3","126","0"
"43","69","F","362","2","121","1"
"43","35","M","252","3","220","0"
"43","63","F","472","1","105","1"
"43","15","F","212","3","233","0"
"43","57","F","418","3","94","0"
"45","66","M","167","4","204","0"
"45","48","M","158","2","97","0"
"45","28","F","338","1","75","1"
"45","67","F","335","0","167","0"
"45","55","M","305","3","108","0"
"45","35","M","323","3","130","0"
"45","63","F","497","1","231","1"
"45","65","F","341","4","78","0"
"45","64","F","215","4","198","0"
"45","18","F","249","0","204","0"
"45","28","M","397","3","132","0"
"45","56","F","166","2","92","0"
"45","67","M","343","2","229","0"
"47","70","F","305","3","130","1"
"47","69","M","392","2","101","0"
"47","12","F","167","2","117","1"
"47","62","F","264","1","246","1"
"47","15","F","320","2","52","0"
"47","32","F","364","1","156","1"
"48","17","F","202","4","183","1"
"48","78","M","216","0","126","0"
"48","47","F","288","2","152","0"
"48","65","M","156","2","170","1"
"48","28","M","233","1","138","0"
"48","55","F","371","4","230","1"
"48","70","M","160","4","155","1"
"50","24","M","270","4","246","0"
"50","16","M","295","3","226","0"
"50","47","M","288","4","168","1"
"50","78","M","246","0","185","1"
"50","56","M","150","1","63","0"
"50","24","F","270","4","97","0"
"51","22","M","318","1","84","1"
"51","49","F","311","0","69","1"
"51","71","M","214","2","56","0"
"51","59","M","107","0","216","0"
"51","36","M","332","3","163","1"
"51","76","F","296","1","59","1"
"51","54","M","335","4","102","1"
"51","22","F","208","0","116","0"
"51","44","F","288","3","206","1"
"51","13","M","113","4","161","1"
"51","69","F","254","3","248","1"
"51","37","M","402","1","70","1"
"51","45","F","383","0","76","1"
"51","72","F","249","1","213","1"
"51","61","M","253","3","132","0"
"51","54","M","359","2","148","0"
"51","54","M","298","3","151","1"
"51","18","M","241","1","233","0"
"51","58","M","290","4","65","0"
"52","59","F","217","3","172","0"
"52","63","M","326","1","241","1"
"52","37","M","196","2","74","0"
"52","25","M","444","3","118","0"
"52","25","F","111","4","72","0"
"52","42","F","200","1","200","1"
"52","49","M","455","4","78","0"
"53","40","F","206","2","183","1"
"53","33","M","253","1","100","0"
"53","58","M","325","2","131","1"
"53","76","F","479","0","196","0"
"53","30","M","456","4","119","0"
"53","11","M","132","3","138","1"
"53","61","M","155","0","167","0"
"53","16","F","313","1","71","1"
"53","57","M","462","4","142","0"
"53","18","F","238","2","167","0"
"53","37","F","460","1","187","0"
"53","57","M","457","3","67","0"
"53","23","M","495","2","96","0"
"53","63","M","392","4","199","1"
"53","64","F","354","3","188","1"
"53","70","F","498","1","121","1"
"53","57","F","325","2","70","0"
"53","34","F","456","3","212","1"
"53","46","M","455","4","221","1"
"54","16","M","392","1","205","1"
"54","57","M","260","2","189","1"
"54","12","M","277","3","181","1"
"54","16","F","103","0","214","0"
"54","31","M","498","2","181","0"
"54","43","F","319","1","66","0"
"54","33","F","121","0","90","1"
"54","71","M","301","0","63","1"
"54","47","F","415","2","77","0"
"54","52","F","143","1","230","0"
"54","29","M","373","3","76","1"
"54","53","F","450","2","233","1"
"55","73","M","428","0","231","1"
"55","22","F","179","3","60","1"
"55","17","M","131","3","218","1"
"55","60","F","153","4","106","0"
"55","10","F","203","1","63","0"
"55","66","M","303","2","107","0"
"55","75","M","206","0","231","1"
"55","48","M","204","2","203","0"
"55","15","F","250","4","50","1"
"55","34","M","137","0","114","1"
"55","43","M","482","1","224","1"
"55","16","F","295","4","95","1"
"55","64","F","395","0","183","0"
"55","67","M","141","0","119","1"
"55","20","M","426","4","210","1"
"55","12","M","253","4","122","1"
"55","65","F","392","0","247","1"
"55","29","M","290","0","155","1"
"56","11","M","163","0","72","1"
"56","50","M","297","3","219","0"
"56","67","M","156","3","199","1"
"56","12","F","365","1","238","1"
"56","10","M","149","1","179","0"
"56","21","M","258","2","71","1"
"56","66","M","177","0","165","1"
"56","58","M","229","0","226","1"
"56","33","F","309","4","203","1"
"56","20","F","334","3","163","1"
"56","76","F","159","0","167","1"
"56","54","M","190","1","214","1"
"56","79","F","111","3","139","1"
"56","57","F","453","0","134","1"
"57","46","F","122","4","63","0"
"57","20","M","284","3","97","0"
"57","13","F","495","0","145","0"
"57","10","F","353","2","200","1"
"57","41","M","287","4","140","1"
"57","52","M","224","0","241","0"
"57","67","M","254","3","195","1"
"57","41","F","351","4","203","1"
"57","48","M","365","2","187","0"
"57","58","F","379","3","167","0"
"57","57","M","185","0","150","1"
"57","27","M","308","3","148","1"
"57","78","M","160","2","243","1"
"57","61","F","377","4","64","1"
"57","11","M","224","2","233","0"
"57","52","F","252","4","173","1"
"57","68","M","222","0","71","1"
"58","57","M","394","3","202","1"
"58","18","F","269","3","143","0"
"58","24","F","317","2","227","1"
"58","14","M","425","0","125","1"
"58","43","F","365","0","153","1"
"58","78","M","376","0","146","0"
"58","62","F","288","3","199","0"
"58","29","M","490","0","172","0"
"58","39","F","266","3","197","0"
"58","52","F","152","3","92","1"
"58","56","F","319","2","178","1"
"58","39","M","277","2","67","0"
"58","58","M","415","3","178","0"
"58","73","F","131","3","175","0"
"58","64","M","176","2","137","1"
"58","10","M","321","0","180","1"
"60","69","M","418","3","59","0"
"60","27","M","219","3","53","1"
"60","54","F","377","2","227","1"
"60","42","M","346","4","208","0"
"60","79","M","304","4","203","1"
"60","63","M","121","3","91","1"
"60","16","F","120","2","179","1"
"60","61","F","164","1","54","0"
"60","19","F","123","3","105","0"
"60","26","M","423","1","110","1"
"60","33","F","317","4","142","1"
"61","47","M","395","2","188","1"
"61","39","F","320","1","239","1"
"61","69","M","236","1","160","0"
"61","68","F","126","2","226","1"
"61","21","F","291","1","118","1"
"61","77","F","418","2","239","0"
"62","20","F","155","3","109","1"
"62","62","M","351","1","96","0"
"62","44","M","470","0","77","0"
"62","48","M","330","2","171","1"
"62","12","M","185","2","175","1"
"62","43","F","478","2","136","0"
"62","24","M","333","3","167","1"
"62","79","F","367","4","183","1"
"63","37","M","463","2","128","0"
"63","48","M","498","2","56","0"
"63","55","M","380","0","237","1"
"63","20","F","173","0","245","0"
"63","45","M","335","1","238","0"
"63","51","F","445","2","200","1"
"63","27","F","204","1","210","1"
"63","53","F","434","0","125","1"
"63","43","M","176","0","210","1"
"63","66","F","114","4","61","0"
"63","56","F","418","4","128","1"
"63","11","F","147","2","134","1"
"63","79","M","212","2","97","1"
"63","66","M","471","3","95","1"
"63","51","M","428","0","174","0"
"63","16","M","127","1","77","0"
"64","57","F","290","4","236","0"
"64","16","M","466","1","224","0"
"64","25","F","193","2","172","1"
"64","63","M","278","1","176","1"
"64","55","M","234","3","132","1"
"64","11","F","446","2","236","1"
"64","48","F","231","3","104","0"
"64","15","F","401","1","119","0"
"64","56","M","235","1","165","0"
"64","32","M","203","1","120","1"
"64","61","F","112","4","177","1"
"64","78","M","272","1","176","0"
"64","26","F","271","4","93","1"
"64","38","F","317","1","232","1"
"64","42","M","255","0","89","1"
"64","61","M","410","0","102","0"
"65","64","M","404","0","133","0"
"65","21","M","285","4","160","1"
"65","45","F","281","4","153","0"
"65","48","F","408","3","165","0"
"65","18","M","117","0","148","1"
"65","17","F","385","3","190","1"
"65","21","F","435","3","92","0"
"67","10","F","211","1","107","1"
"67","26","F","464","3","91","0"
"67","17","M","405","0","170","1"
"67","42","F","149","2","142","0"
"67","10","M","307","0","78","0"
"67","56","F","475","1","219","1"
"67","46","F","475","4","187","0"
"67","77","M","300","1","87","0"
"67","55","M","120","1","190","0"
"67","44","M","106","0","100","1"
"67","68","M","364","1","136","1"
"67","37","F","456","3","216","1"
"67","32","F","204","4","55","0"
"67","57","M","131","4","248","1"
"68","67","F","125","0","159","1"
"68","69","F","401","3","160","1"
"68","71","F","247","2","181","0"
"68","60","M","323","4","237","0"
"68","15","F","161","2","132","1"
"68","50","F","351","3","167","0"
"68","63","F","153","4","188","1"
"70","50","F","328","0","96","0"
"70","44","M","218","4","178","0"
"70","40","F","454","0","167","1"
"70","39","F","443","3","163","0"
"70","22","F","490","3","173","0"
"70","57","M","192","2","183","1"
"70","34","F","346","3","50","0"
"70","60","F","222","0","188","0"
"70","73","M","481","3","99","1"
"70","74","F","466","4","199","0"
"70","68","F","382","3","215","1"
"70","53","M","499","2","186","1"
"70","75","M","153","3","101","0"
"70","55","M","163","3","199","0"
"70","29","F","240","2","136","0"
"70","56","F","211","0","119","1"
"70","40","F","112","1","172","1"
"70","71","F","166","2","148","0"
"70","59","M","287","1","182","0"
"72","70","M","422","1","217","1"
"72","23","F","483","0","130","0"
"72","12","F","125","1","207","0"
"72","65","F","434","3","109","0"
"72","70","F","206","1","232","1"
"72","35","F","130","0","240","0"
"72","34","F","299","4","215","0"
"72","47","F","145","0","242","1"
"72","41","M","267","1","94","0"
"73","37","M","441","1","143","1"
"73","47","M","270","3","155","1"
"73","11","F","433","1","89","1"
"73","37","F","204","2","195","0"
"73","64","M","463","2","228","0"
"73","48","M","306","4","74","0"
"73","62","F","182","0","100","1"
"73","33","F","154","3","68","1"
"73","61","F","105","4","53","0"
"73","76","M","232","1","161","1"
"73","61","M","423","3","230","1"
"73","28","M","276","2","136","1"
"73","33","M","324","3","153","0"
"73","79","M","215","2","207","1"
"73","52","M","469","4","151","1"
"73","79","F","270","0","238","0"
"74","62","M","104","2","60","0"
"74","68","M","200","0","232","1"
"74","24","F","486","0","216","0"
"74","11","M","307","1","69","1"
"74","25","M","253","0","97","1"
"74","34","F","459","3","180","0"
"74","68","F","344","0","231","1"
"74","26","F","488","4","193","0"
"74","40","F","288","0","81","1"
"74","64","F","204","1","148","0"
"74","14","F","388","0","149","1"
"74","62","M","396","0","207","0"
"74","64","F","293","3","64","0"
"74","59","M","140","4","112","0"
"74","10","M","254","4","139","0"
"74","71","F","233","1","205","0"
"74","30","F","273","4","80","0"
"74","25","F","272","0","151","1"
"75","25","M","290","3","181","0"
"75","17","F","440","1","249","1"
"75","58","M","453","3","214","1"
"75","29","M","343","4","164","1"
"75","79","F","147","0","165","0"
"75","76","F","181","2","92","0"
"77","11","F","393","3","73","1"
"77","70","F","206","4","57","0"
"77","53","M","212","0","216","1"
"77","77","M","303","0","179","0"
"77","71","M","499","1","177","0"
"77","59","F","455","3","74","0"
"77","48","F","446","3","190","0"
"77","26","M","322","2","193","0"
"78","39","F","153","0","60","0"
"78","61","F","162","1","201","1"
"78","46","F","122","3","156","0"
"78","56","M","348","3","164","0"
"78","62","F","299","2","165","1"
"78","45","M","484","2","81","0"
"78","18","M","231","0","125","0"
"78","75","F","269","1","202","1"
"78","62","F","463","3","86","1"
"78","10","M","497","4","185","0"
"78","34","M","455","3","206","1"
"78","23","M","483","2","176","0"
"79","41","M","330","2","85","1"
"79","25","M","479","0","151","1"
"79","19","M","479","0","63","0"
"79","48","F","434","1","223","0"
"79","57","F","464","0","196","0"
"79","73","M","473","4","85","1"
"79","12","M","425","2","109","0"
"79","16","M","394","1","82","0"
"79","76","M","230","4","113","1"
"79","18","M","188","0","116","1"
"79","31","M","305","0","197","0"
"79","34","M","289","4","192","1"
"79","73","M","150","4","132","0"
"79","23","F","500","0","52","0"
"79","29","M","464","4","244","1"
"79","41","M","139","0","170","1"
"79","20","F","210","1","199","0"
"82","54","F","241","0","229","0"
"82","19","F","425","2","243","0"
"82","65","F","403","2","73","1"
"82","69","F","198","3","185","0"
"82","12","F","433","4","181","1"
"82","32","F","399","2","63","0"
"82","17","M","310","4","72","1"
"82","76","M","273","2","156","1"
"82","49","F","167","1","118","1"
"82","15","F","287","2","188","0"
"82","16","M","112","3","241","1"
"83","34","F","275","2","85","1"
"83","65","M","371","3","194","0"
"83","52","F","275","2","106","1"
"83","65","M","176","1","238","0"
"83","12","F","403","4","210","0"
"83","71","M","391","2","150","1"
"83","20","F","276","0","81","1"
"83","20","F","354","2","110","1"
"83","46","F","365","3","118","0"
"83","37","F","270","2","225","1"
"85","59","F","302","0","191","0"
"85","12","M","365","2","146","1"
"85","53","M","207","0","145","1"
"85","59","F","141","2","223","1"
"85","60","F","483","4","121","1"
"85","75","F","249","3","91","0"
"86","36","F","201","3","115","0"
"86","14","M","395","2","237","0"
"86","54","M","323","2","78","1"
"86","29","F","342","4","233","1"
"86","62","F","230","1","152","0"
"86","15","F","311","1","227","0"
"86","69","M","449","3","120","0"
"86","22","M","170","2","210","0"
"87","79","F","452","1","246","1"
"87","53","F","350","0","241","1"
"87","57","F","375","3","100","1"
"87","79","M","142","3","68","1"
"87","23","F","348","1","74","1"
"87","38","F","113","4","103","1"
"87","30","F","325","1","226","1"
"91","41","M","292","4","249","1"
"91","17","M","323","2","106","0"
"91","41","F","170","1","133","1"
"91","72","M","255","4","87","0"
"91","43","F","162","3","79","0"
"91","77","M","210","1","140","1"
"91","46","F","244","4","59","0"
"91","43","F","157","4","142","0"
"91","27","F","428","3","249","1"
"92","52","M","103","1","195","0"
"92","67","M","473","4","158","1"
"92","33","M","175","0","230","0"
"92","41","F","308","0","84","0"
"92","71","M","303","3","90","0"
"92","61","F","336","0","183","1"
"92","59","F","373","3","85","1"
"92","61","M","392","2","81","0"
"92","26","M","171","2","66","1"
"92","39","F","192","3","73","1"
"92","71","M","108","2","82","1"
"92","72","F","139","0","244","1"
"92","58","M","311","3","159","1"
"92","65","M","330","4","159","0"
"92","49","F","492","4","233","1"
"92","28","M","287","4","103","0"
"93","27","F","144","3","88","0"
"93","73","M","164","0","144","1"
"93","62","F","459","4","153","1"
"93","39","F","448","0","54","1"
"93","51","F","145","0","132","1"
"93","11","F","172","0","160","1"
"93","17","F","236","3","248","1"
"93","37","M","288","1","183","0"
"93","40","F","443","2","144","1"
"93","28","F","416","1","212","1"
"93","29","F","233","1","79","0"
"93","75","F","455","4","109","1"
"93","11","F","139","3","173","1"
"93","62","F","193","3","121","0"
"93","67","F","326","0","225","0"
"93","48","F","258","3","121","0"
"93","64","M","251","2","183","1"
"93","69","F","486","2","201","1"
"94","27","M","170","4","133","0"
"94","67","F","125","1","166","1"
"94","64","F","432","2","89","0"
"94","62","F","461","3","226","1"
"94","30","F","327","1","180","0"
"94","16","F","496","2","215","1"
"94","18","M","119","4","141","0"
"94","13","M","452","4","204","0"
"94","67","F","164","1","108","1"
"94","66","F","312","4","87","0"
"94","56","F","145","4","200","1"
"94","32","F","288","1","55","1"
"94","21","F","370","4","243","1"
"94","37","M","405","2","100","1"
"94","46","F","159","0","99","1"
"94","76","M","473","3","199","1"
"95","26","M","371","0","121","0"
"95","69","M","159","4","208","0"
"95","13","M","220","1","141","0"
"95","51","M","488","2","86","0"
"95","65","M","153","3","141","0"
"95","57","F","489","0","174","0"
"95","53","M","200","0","188","0"
"99","63","M","196","0","124","0"
"99","78","F","143","1","216","1"
"99","65","F","364","0","141","0"
"99","52","F","396","2","91","0"
"99","57","F","378","0","84","0"
"99","10","F","249","0","207","0"
"99","34","M","255","1","172","1"
"99","38","M","458","3","126","0"
"99","66","M","491","4","69","0"
"99","47","F","473","1","130","1"
"99","61","M","281","0","146","0"
"99","41","F","231","4","241","0"
"99","43","M","117","3","51","1"
"99","14","F","205","1","114","0"
"99","62","M","491","2","160","1"
"99","41","M","445","0","144","0"
"99","12","M","142","0","226","0"
"99","35","F","426","1","185","1"
"99","66","F","417","2","93","0"
"100","52","M","399","2","136","1"
"100","13","F","180","4","199","0"
"100","76","F","256","3","50","1"
"100","22","M","313","1","70","0"
"100","41","F","380","2","99","1"
"100","20","F","447","3","90","0"
"100","55","M","203","1","175","1"
"100","52","F","195","3","80","0"
"100","43","M","118","3","105","0"
"100","48","M","113","1","91","0"
"100","48","F","470","0","154","0"
"100","11","F","398","3","51","1"
"100","77","M","372","4","242","1"
"100","44","M","434","4","104","1"
"100","30","M","144","2","157","0"
"101","68","M","394","2","244","0"
"101","50","M","414","0","137","1"
"101","44","F","282","4","80","0"
"101","57","F","333","4","131","1"
"101","79","F","310","1","182","0"
"101","46","F","435","0","220","0"
"101","54","F","114","0","239","1"
